,H,B,tw,tf,A,Z
3365,500,300,22,25,24900,4055750
3366,500,300,22,28,26568,4389036.416
3367,500,300,22,32,28792,4819614.677
3368,500,300,22,36,31016,5234678.315
3369,500,300,22,40,33240,5634512
3411,500,350,9,12,12684,2324363.328
3412,500,350,9,16,15412,2932132.629
3413,500,350,9,19,17458,3374535.117
3414,500,350,9,22,19504,3805594.581
3415,500,350,9,25,21550,4225458.333
3416,500,350,9,28,23596,4634273.685
3417,500,350,9,32,26324,5162429.035
3418,500,350,9,36,29052,5671553.856
3419,500,350,9,40,31780,6161997.333
3421,500,350,12,12,14112,2432213.504
3422,500,350,12,16,16816,3034635.861
3423,500,350,12,19,18844,3473146.245
3424,500,350,12,22,20872,3900413.397
3425,500,350,12,25,22900,4316583.333
3426,500,350,12,28,24928,4721802.069
3427,500,350,12,32,27632,5245310.891
3428,500,350,12,36,30336,5749956.608
3429,500,350,12,40,33040,6236085.333
3431,500,350,14,12,15064,2504113.621
3432,500,350,14,16,17752,3102971.349
3433,500,350,14,19,19768,3538886.997
3434,500,350,14,22,21784,3963625.941
3435,500,350,14,25,23800,4377333.333
3436,500,350,14,28,25816,4780154.325
3437,500,350,14,32,28504,5300565.461
3438,500,350,14,36,31192,5802225.109
3439,500,350,14,40,33880,6285477.333
3441,500,350,16,12,16016,2576013.739
3442,500,350,16,16,18688,3171306.837
3443,500,350,16,19,20692,3604627.749
3444,500,350,16,22,22696,4026838.485
3445,500,350,16,25,24700,4438083.333
3446,500,350,16,28,26704,4838506.581
3447,500,350,16,32,29376,5355820.032
3448,500,350,16,36,32048,5854493.611
3449,500,350,16,40,34720,6334869.333
3451,500,350,19,12,17444,2683863.915
3452,500,350,19,16,20092,3273810.069
3453,500,350,19,19,22078,3703238.877
3454,500,350,19,22,24064,4121657.301
3455,500,350,19,25,26050,4529208.333
3456,500,350,19,28,28036,4926034.965
3457,500,350,19,32,30684,5438701.888
3458,500,350,19,36,33332,5932896.363
3459,500,350,19,40,35980,6408957.333
3461,500,350,22,12,18872,2791714.091
3462,500,350,22,16,21496,3376313.301
3463,500,350,22,19,23464,3801850.005
3464,500,350,22,22,25432,4216476.117
3465,500,350,22,25,27400,4620333.333
3466,500,350,22,28,29368,5013563.349
3467,500,350,22,32,31992,5521583.744
3468,500,350,22,36,34616,6011299.115
3469,500,350,22,40,37240,6483045.333
3511,500,400,9,12,13884,2610193.728
3512,500,400,9,16,17012,3307078.763
3513,500,400,9,19,19358,3814349.651
3514,500,400,9,22,21704,4308614.315
3515,500,400,9,25,24050,4790041.667
3516,500,400,9,28,26396,5258800.619
3517,500,400,9,32,29524,5864398.101
3518,500,400,9,36,32652,6448174.656
3519,500,400,9,40,35780,7010530.667
3521,500,400,12,12,15312,2718043.904
3522,500,400,12,16,18416,3409581.995
3523,500,400,12,19,20744,3912960.779
3524,500,400,12,22,23072,4403433.131
3525,500,400,12,25,25400,4881166.667
3526,500,400,12,28,27728,5346329.003
3527,500,400,12,32,30832,5947279.957
3528,500,400,12,36,33936,6526577.408
3529,500,400,12,40,37040,7084618.667
3531,500,400,14,12,16264,2789944.021
3532,500,400,14,16,19352,3477917.483
3533,500,400,14,19,21668,3978701.531
3534,500,400,14,22,23984,4466645.675
3535,500,400,14,25,26300,4941916.667
3536,500,400,14,28,28616,5404681.259
3537,500,400,14,32,31704,6002534.528
3538,500,400,14,36,34792,6578845.909
3539,500,400,14,40,37880,7134010.667
3541,500,400,16,12,17216,2861844.139
3542,500,400,16,16,20288,3546252.971
3543,500,400,16,19,22592,4044442.283
3544,500,400,16,22,24896,4529858.219
3545,500,400,16,25,27200,5002666.667
3546,500,400,16,28,29504,5463033.515
3547,500,400,16,32,32576,6057789.099
3548,500,400,16,36,35648,6631114.411
3549,500,400,16,40,38720,7183402.667
3551,500,400,19,12,18644,2969694.315
3552,500,400,19,16,21692,3648756.203
3553,500,400,19,19,23978,4143053.411
3554,500,400,19,22,26264,4624677.035
3555,500,400,19,25,28550,5093791.667
3556,500,400,19,28,30836,5550561.899
3557,500,400,19,32,33884,6140670.955
3558,500,400,19,36,36932,6709517.163
3559,500,400,19,40,39980,7257490.667
3561,500,400,22,12,20072,3077544.491
3562,500,400,22,16,23096,3751259.435
3563,500,400,22,19,25364,4241664.539
3564,500,400,22,22,27632,4719495.851
3565,500,400,22,25,29900,5184916.667
3566,500,400,22,28,32168,5638090.283
3567,500,400,22,32,35192,6223552.811
3568,500,400,22,36,38216,6787919.915
3569,500,400,22,40,41240,7331578.667
4111,550,200,9,12,9534,1660142.116
4112,550,200,9,16,11062,2038654.572
4113,550,200,9,19,12208,2314973.925
4114,550,200,9,22,13354,2584892.347
4115,550,200,9,25,14500,2848484.848
4116,550,200,9,28,15646,3105826.441
4117,550,200,9,32,17174,3439354.577
4118,550,200,9,36,18702,3762081.142
4119,550,200,9,40,20230,4074183.939
4121,550,200,12,12,11112,1792443.549
4122,550,200,12,16,12616,2165010.783
4123,550,200,12,19,13744,2436990.041
4124,550,200,12,22,14872,2702668.907
4125,550,200,12,25,16000,2962121.212
4126,550,200,12,28,17128,3215420.79
4127,550,200,12,32,18632,3543710.264
4128,550,200,12,36,20136,3861367.825
4129,550,200,12,40,21640,4168568.485
4131,550,200,14,12,12164,1880644.504
4132,550,200,14,16,13652,2249248.257
4133,550,200,14,19,14768,2518334.119
4134,550,200,14,22,15884,2781186.613
4135,550,200,14,25,17000,3037878.788
4136,550,200,14,28,18116,3288483.69
4137,550,200,14,32,19604,3613280.722
4138,550,200,14,36,21092,3927558.948
4139,550,200,14,40,22580,4231491.515
4141,550,200,16,12,13216,1968845.459
4142,550,200,16,16,14688,2333485.731
4143,550,200,16,19,15792,2599678.196
4144,550,200,16,22,16896,2859704.32
4145,550,200,16,25,18000,3113636.364
4146,550,200,16,28,19104,3361546.589
4147,550,200,16,32,20576,3682851.181
4148,550,200,16,36,22048,3993750.07
4149,550,200,16,40,23520,4294414.545
4151,550,200,19,12,14794,2101146.892
4152,550,200,19,16,16242,2459841.942
4153,550,200,19,19,17328,2721694.313
4154,550,200,19,22,18414,2977480.88
4155,550,200,19,25,19500,3227272.727
4156,550,200,19,28,20586,3471140.938
4157,550,200,19,32,22034,3787206.868
4158,550,200,19,36,23482,4093036.754
4159,550,200,19,40,24930,4388799.091
4161,550,200,22,12,16372,2233448.325
4162,550,200,22,16,17796,2586198.153
4163,550,200,22,19,18864,2843710.429
4164,550,200,22,22,19932,3095257.44
4165,550,200,22,25,21000,3340909.091
4166,550,200,22,28,22068,3580735.287
4167,550,200,22,32,23492,3891562.555
4168,550,200,22,36,24916,4192323.438
4169,550,200,22,40,26340,4483183.636
4211,550,250,9,12,10734,1975951.571
4212,550,250,9,16,12662,2453551.057
4213,550,250,9,19,14108,2802205.319
4214,550,250,9,22,15554,3142783.013
4215,550,250,9,25,17000,3475378.788
4216,550,250,9,28,18446,3800087.29
4217,550,250,9,32,20374,4220926.456
4218,550,250,9,36,22302,4628136.415
4219,550,250,9,40,24230,5021941.515
4221,550,250,12,12,12312,2108253.004
4222,550,250,12,16,14216,2579907.268
4223,550,250,12,19,15644,2924221.435
4224,550,250,12,22,17072,3260559.573
4225,550,250,12,25,18500,3589015.152
4226,550,250,12,28,19928,3909681.639
4227,550,250,12,32,21832,4325282.143
4228,550,250,12,36,23736,4727423.098
4229,550,250,12,40,25640,5116326.061
4231,550,250,14,12,13364,2196453.959
4232,550,250,14,16,15252,2664144.742
4233,550,250,14,19,16668,3005565.513
4234,550,250,14,22,18084,3339077.28
4235,550,250,14,25,19500,3664772.727
4236,550,250,14,28,20916,3982744.538
4237,550,250,14,32,22804,4394852.601
4238,550,250,14,36,24692,4793614.221
4239,550,250,14,40,26580,5179249.091
4241,550,250,16,12,14416,2284654.914
4242,550,250,16,16,16288,2748382.216
4243,550,250,16,19,17692,3086909.59
4244,550,250,16,22,19096,3417594.987
4245,550,250,16,25,20500,3740530.303
4246,550,250,16,28,21904,4055807.438
4247,550,250,16,32,23776,4464423.059
4248,550,250,16,36,25648,4859805.343
4249,550,250,16,40,27520,5242172.121
4251,550,250,19,12,15994,2416956.347
4252,550,250,19,16,17842,2874738.427
4253,550,250,19,19,19228,3208925.707
4254,550,250,19,22,20614,3535371.547
4255,550,250,19,25,22000,3854166.667
4256,550,250,19,28,23386,4165401.787
4257,550,250,19,32,25234,4568778.747
4258,550,250,19,36,27082,4959092.027
4259,550,250,19,40,28930,5336556.667
4261,550,250,22,12,17572,2549257.779
4262,550,250,22,16,19396,3001094.638
4263,550,250,22,19,20764,3330941.823
4264,550,250,22,22,22132,3653148.107
4265,550,250,22,25,23500,3967803.03
4266,550,250,22,28,24868,4274996.136
4267,550,250,22,32,26692,4673134.434
4268,550,250,22,36,28516,5058378.71
4269,550,250,22,40,30340,5430941.212
4311,550,300,9,12,11934,2291761.025
4312,550,300,9,16,14262,2868447.542
4313,550,300,9,19,16008,3289436.713
4314,550,300,9,22,17754,3700673.68
4315,550,300,9,25,19500,4102272.727
4316,550,300,9,28,21246,4494348.138
4317,550,300,9,32,23574,5002498.335
4318,550,300,9,36,25902,5494191.687
4319,550,300,9,40,28230,5969699.091
4321,550,300,12,12,13512,2424062.458
4322,550,300,12,16,15816,2994803.753
4323,550,300,12,19,17544,3411452.829
4324,550,300,12,22,19272,3818450.24
4325,550,300,12,25,21000,4215909.091
4326,550,300,12,28,22728,4603942.487
4327,550,300,12,32,25032,5106854.022
4328,550,300,12,36,27336,5593478.371
4329,550,300,12,40,29640,6064083.636
4331,550,300,14,12,14564,2512263.413
4332,550,300,14,16,16852,3079041.227
4333,550,300,14,19,18568,3492796.907
4334,550,300,14,22,20284,3896967.947
4335,550,300,14,25,22000,4291666.667
4336,550,300,14,28,23716,4677005.387
4337,550,300,14,32,26004,5176424.48
4338,550,300,14,36,28292,5659669.493
4339,550,300,14,40,30580,6127006.667
4341,550,300,16,12,15616,2600464.368
4342,550,300,16,16,17888,3163278.701
4343,550,300,16,19,19592,3574140.984
4344,550,300,16,22,21296,3975485.653
4345,550,300,16,25,23000,4367424.242
4346,550,300,16,28,24704,4750068.286
4347,550,300,16,32,26976,5245994.938
4348,550,300,16,36,29248,5725860.616
4349,550,300,16,40,31520,6189929.697
4351,550,300,19,12,17194,2732765.801
4352,550,300,19,16,19442,3289634.912
4353,550,300,19,19,21128,3696157.101
4354,550,300,19,22,22814,4093262.213
4355,550,300,19,25,24500,4481060.606
4356,550,300,19,28,26186,4859662.635
4357,550,300,19,32,28434,5350350.625
4358,550,300,19,36,30682,5825147.299
4359,550,300,19,40,32930,6284314.242
4361,550,300,22,12,18772,2865067.234
4362,550,300,22,16,20996,3415991.122
4363,550,300,22,19,22664,3818173.217
4364,550,300,22,22,24332,4211038.773
4365,550,300,22,25,26000,4594696.97
4366,550,300,22,28,27668,4969256.984
4367,550,300,22,32,29892,5454706.313
4368,550,300,22,36,32116,5924433.983
4369,550,300,22,40,34340,6378698.788
4411,550,350,9,12,13134,2607570.48
4412,550,350,9,16,15862,3283344.027
4413,550,350,9,19,17908,3776668.107
4414,550,350,9,22,19954,4258564.347
4415,550,350,9,25,22000,4729166.667
4416,550,350,9,28,24046,5188608.987
4417,550,350,9,32,26774,5784070.213
4418,550,350,9,36,29502,6360246.96
4419,550,350,9,40,32230,6917456.667
4421,550,350,12,12,14712,2739871.913
4422,550,350,12,16,17416,3409700.238
4423,550,350,12,19,19444,3898684.223
4424,550,350,12,22,21472,4376340.907
4425,550,350,12,25,23500,4842803.03
4426,550,350,12,28,25528,5298203.336
4427,550,350,12,32,28232,5888425.901
4428,550,350,12,36,30936,6459533.644
4429,550,350,12,40,33640,7011841.212
4431,550,350,14,12,15764,2828072.868
4432,550,350,14,16,18452,3493937.712
4433,550,350,14,19,20468,3980028.301
4434,550,350,14,22,22484,4454858.613
4435,550,350,14,25,24500,4918560.606
4436,550,350,14,28,26516,5371266.235
4437,550,350,14,32,29204,5957996.359
4438,550,350,14,36,31892,6525724.766
4439,550,350,14,40,34580,7074764.242
4441,550,350,16,12,16816,2916273.823
4442,550,350,16,16,19488,3578175.185
4443,550,350,16,19,21492,4061372.378
4444,550,350,16,22,23496,4533376.32
4445,550,350,16,25,25500,4994318.182
4446,550,350,16,28,27504,5444329.135
4447,550,350,16,32,30176,6027566.817
4448,550,350,16,36,32848,6591915.888
4449,550,350,16,40,35520,7137687.273
4451,550,350,19,12,18394,3048575.256
4452,550,350,19,16,21042,3704531.396
4453,550,350,19,19,23028,4183388.495
4454,550,350,19,22,25014,4651152.88
4455,550,350,19,25,27000,5107954.545
4456,550,350,19,28,28986,5553923.484
4457,550,350,19,32,31634,6131922.504
4458,550,350,19,36,34282,6691202.572
4459,550,350,19,40,36930,7232071.818
4461,550,350,22,12,19972,3180876.688
4462,550,350,22,16,22596,3830887.607
4463,550,350,22,19,24564,4305404.611
4464,550,350,22,22,26532,4768929.44
4465,550,350,22,25,28500,5221590.909
4466,550,350,22,28,30468,5663517.833
4467,550,350,22,32,33092,6236278.192
4468,550,350,22,36,35716,6790489.256
4469,550,350,22,40,38340,7326456.364
4511,550,400,9,12,14334,2923379.935
4512,550,400,9,16,17462,3698240.512
4513,550,400,9,19,19808,4263899.501
4514,550,400,9,22,22154,4816455.013
4515,550,400,9,25,24500,5356060.606
4516,550,400,9,28,26846,5882869.835
4517,550,400,9,32,29974,6565642.092
4518,550,400,9,36,33102,7226302.233
4519,550,400,9,40,36230,7865214.242
4521,550,400,12,12,15912,3055681.367
4522,550,400,12,16,19016,3824596.722
4523,550,400,12,19,21344,4385915.617
4524,550,400,12,22,23672,4934231.573
4525,550,400,12,25,26000,5469696.97
4526,550,400,12,28,28328,5992464.184
4527,550,400,12,32,31432,6669997.779
4528,550,400,12,36,34536,7325588.916
4529,550,400,12,40,37640,7959598.788
4531,550,400,14,12,16964,3143882.322
4532,550,400,14,16,20052,3908834.196
4533,550,400,14,19,22368,4467259.695
4534,550,400,14,22,24684,5012749.28
4535,550,400,14,25,27000,5545454.545
4536,550,400,14,28,29316,6065527.084
4537,550,400,14,32,32404,6739568.238
4538,550,400,14,36,35492,7391780.039
4539,550,400,14,40,38580,8022521.818
4541,550,400,16,12,18016,3232083.278
4542,550,400,16,16,21088,3993071.67
4543,550,400,16,19,23392,4548603.772
4544,550,400,16,22,25696,5091266.987
4545,550,400,16,25,28000,5621212.121
4546,550,400,16,28,30304,6138589.983
4547,550,400,16,32,33376,6809138.696
4548,550,400,16,36,36448,7457971.161
4549,550,400,16,40,39520,8085444.848
4551,550,400,19,12,19594,3364384.71
4552,550,400,19,16,22642,4119427.881
4553,550,400,19,19,24928,4670619.888
4554,550,400,19,22,27214,5209043.547
4555,550,400,19,25,29500,5734848.485
4556,550,400,19,28,31786,6248184.332
4557,550,400,19,32,34834,6913494.383
4558,550,400,19,36,37882,7557257.845
4559,550,400,19,40,40930,8179829.394
4561,550,400,22,12,21172,3496686.143
4562,550,400,22,16,24196,4245784.092
4563,550,400,22,19,26464,4792636.005
4564,550,400,22,22,28732,5326820.107
4565,550,400,22,25,31000,5848484.848
4566,550,400,22,28,33268,6357778.681
4567,550,400,22,32,36292,7017850.07
4568,550,400,22,36,39316,7656544.528
4569,550,400,22,40,42340,8274213.939
5111,600,200,9,12,9984,1860925.44
5112,600,200,9,16,11512,2277546.524
5113,600,200,9,19,12658,2582409.264
5114,600,200,9,22,13804,2880831.484
5115,600,200,9,25,14950,3172881.944
5116,600,200,9,28,16096,3458629.404
5117,600,200,9,32,17624,3829940.196
5118,600,200,9,36,19152,4190330.88
5119,600,200,9,40,20680,4539964.444
5121,600,200,12,12,11712,2020177.92
5122,600,200,12,16,13216,2430255.218
5123,600,200,12,19,14344,2730329.538
5124,600,200,12,22,15472,3024064.498
5125,600,200,12,25,16600,3311527.778
5126,600,200,12,28,17728,3592787.058
5127,600,200,12,32,19232,3958265.742
5128,600,200,12,36,20736,4312995.84
5129,600,200,12,40,22240,4657137.778
5131,600,200,14,12,12864,2126346.24
5132,600,200,14,16,14352,2532061.013
5133,600,200,14,19,15468,2828943.053
5134,600,200,14,22,16584,3119553.173
5135,600,200,14,25,17700,3403958.333
5136,600,200,14,28,18816,3682225.493
5137,600,200,14,32,20304,4043816.107
5138,600,200,14,36,21792,4394772.48
5139,600,200,14,40,23280,4735253.333
5141,600,200,16,12,14016,2232514.56
5142,600,200,16,16,15488,2633866.809
5143,600,200,16,19,16592,2927556.569
5144,600,200,16,22,17696,3215041.849
5145,600,200,16,25,18800,3496388.889
5146,600,200,16,28,19904,3771663.929
5147,600,200,16,32,21376,4129366.471
5148,600,200,16,36,22848,4476549.12
5149,600,200,16,40,24320,4813368.889
5151,600,200,19,12,15744,2391767.04
5152,600,200,19,16,17192,2786575.502
5153,600,200,19,19,18278,3075476.842
5154,600,200,19,22,19364,3358274.862
5155,600,200,19,25,20450,3635034.722
5156,600,200,19,28,21536,3905821.582
5157,600,200,19,32,22984,4257692.018
5158,600,200,19,36,24432,4599214.08
5159,600,200,19,40,25880,4930542.222
5161,600,200,22,12,17472,2551019.52
5162,600,200,22,16,18896,2939284.196
5163,600,200,22,19,19964,3223397.116
5164,600,200,22,22,21032,3501507.876
5165,600,200,22,25,22100,3773680.556
5166,600,200,22,28,23168,4039979.236
5167,600,200,22,32,24592,4386017.564
5168,600,200,22,36,26016,4721879.04
5169,600,200,22,40,27440,5047715.556
5211,600,250,9,12,11184,2206717.44
5212,600,250,9,16,13112,2732401.636
5213,600,250,9,19,14558,3117071.376
5214,600,250,9,22,16004,3493614.596
5215,600,250,9,25,17450,3862118.056
5216,600,250,9,28,18896,4222668.516
5217,600,250,9,32,20824,4691181.084
5218,600,250,9,36,22752,5145914.88
5219,600,250,9,40,24680,5587075.556
5221,600,250,12,12,12912,2365969.92
5222,600,250,12,16,14816,2885110.329
5223,600,250,12,19,16244,3264991.649
5224,600,250,12,22,17672,3636847.609
5225,600,250,12,25,19100,4000763.889
5226,600,250,12,28,20528,4356826.169
5227,600,250,12,32,22432,4819506.631
5228,600,250,12,36,24336,5268579.84
5229,600,250,12,40,26240,5704248.889
5231,600,250,14,12,14064,2472138.24
5232,600,250,14,16,15952,2986916.124
5233,600,250,14,19,17368,3363605.164
5234,600,250,14,22,18784,3732336.284
5235,600,250,14,25,20200,4093194.444
5236,600,250,14,28,21616,4446264.604
5237,600,250,14,32,23504,4905056.996
5238,600,250,14,36,25392,5350356.48
5239,600,250,14,40,27280,5782364.444
5241,600,250,16,12,15216,2578306.56
5242,600,250,16,16,17088,3088721.92
5243,600,250,16,19,18492,3462218.68
5244,600,250,16,22,19896,3827824.96
5245,600,250,16,25,21300,4185625
5246,600,250,16,28,22704,4535703.04
5247,600,250,16,32,24576,4990607.36
5248,600,250,16,36,26448,5432133.12
5249,600,250,16,40,28320,5860480
5251,600,250,19,12,16944,2737559.04
5252,600,250,19,16,18792,3241430.613
5253,600,250,19,19,20178,3610138.953
5254,600,250,19,22,21564,3971057.973
5255,600,250,19,25,22950,4324270.833
5256,600,250,19,28,24336,4669860.693
5257,600,250,19,32,26184,5118932.907
5258,600,250,19,36,28032,5554798.08
5259,600,250,19,40,29880,5977653.333
5261,600,250,22,12,18672,2896811.52
5262,600,250,22,16,20496,3394139.307
5263,600,250,22,19,21864,3758059.227
5264,600,250,22,22,23232,4114290.987
5265,600,250,22,25,24600,4462916.667
5266,600,250,22,28,25968,4804018.347
5267,600,250,22,32,27792,5247258.453
5268,600,250,22,36,29616,5677463.04
5269,600,250,22,40,31440,6094826.667
5311,600,300,9,12,12384,2552509.44
5312,600,300,9,16,14712,3187256.747
5313,600,300,9,19,16458,3651733.487
5314,600,300,9,22,18204,4106397.707
5315,600,300,9,25,19950,4551354.167
5316,600,300,9,28,21696,4986707.627
5317,600,300,9,32,24024,5552421.973
5318,600,300,9,36,26352,6101498.88
5319,600,300,9,40,28680,6634186.667
5321,600,300,12,12,14112,2711761.92
5322,600,300,12,16,16416,3339965.44
5323,600,300,12,19,18144,3799653.76
5324,600,300,12,22,19872,4249630.72
5325,600,300,12,25,21600,4690000
5326,600,300,12,28,23328,5120865.28
5327,600,300,12,32,25632,5680747.52
5328,600,300,12,36,27936,6224163.84
5329,600,300,12,40,30240,6751360
5331,600,300,14,12,15264,2817930.24
5332,600,300,14,16,17552,3441771.236
5333,600,300,14,19,19268,3898267.276
5334,600,300,14,22,20984,4345119.396
5335,600,300,14,25,22700,4782430.556
5336,600,300,14,28,24416,5210303.716
5337,600,300,14,32,26704,5766297.884
5338,600,300,14,36,28992,6305940.48
5339,600,300,14,40,31280,6829475.556
5341,600,300,16,12,16416,2924098.56
5342,600,300,16,16,18688,3543577.031
5343,600,300,16,19,20392,3996880.791
5344,600,300,16,22,22096,4440608.071
5345,600,300,16,25,23800,4874861.111
5346,600,300,16,28,25504,5299742.151
5347,600,300,16,32,27776,5851848.249
5348,600,300,16,36,30048,6387717.12
5349,600,300,16,40,32320,6907591.111
5351,600,300,19,12,18144,3083351.04
5352,600,300,19,16,20392,3696285.724
5353,600,300,19,19,22078,4144801.064
5354,600,300,19,22,23764,4583841.084
5355,600,300,19,25,25450,5013506.944
5356,600,300,19,28,27136,5433899.804
5357,600,300,19,32,29384,5980173.796
5358,600,300,19,36,31632,6510382.08
5359,600,300,19,40,33880,7024764.444
5361,600,300,22,12,19872,3242603.52
5362,600,300,22,16,22096,3848994.418
5363,600,300,22,19,23764,4292721.338
5364,600,300,22,22,25432,4727074.098
5365,600,300,22,25,27100,5152152.778
5366,600,300,22,28,28768,5568057.458
5367,600,300,22,32,30992,6108499.342
5368,600,300,22,36,33216,6633047.04
5369,600,300,22,40,35440,7141937.778
5411,600,350,9,12,13584,2898301.44
5412,600,350,9,16,16312,3642111.858
5413,600,350,9,19,18358,4186395.598
5414,600,350,9,22,20404,4719180.818
5415,600,350,9,25,22450,5240590.278
5416,600,350,9,28,24496,5750746.738
5417,600,350,9,32,27224,6413662.862
5418,600,350,9,36,29952,7057082.88
5419,600,350,9,40,32680,7681297.778
5421,600,350,12,12,15312,3057553.92
5422,600,350,12,16,18016,3794820.551
5423,600,350,12,19,20044,4334315.871
5424,600,350,12,22,22072,4862413.831
5425,600,350,12,25,24100,5379236.111
5426,600,350,12,28,26128,5884904.391
5427,600,350,12,32,28832,6541988.409
5428,600,350,12,36,31536,7179747.84
5429,600,350,12,40,34240,7798471.111
5431,600,350,14,12,16464,3163722.24
5432,600,350,14,16,19152,3896626.347
5433,600,350,14,19,21168,4432929.387
5434,600,350,14,22,23184,4957902.507
5435,600,350,14,25,25200,5471666.667
5436,600,350,14,28,27216,5974342.827
5437,600,350,14,32,29904,6627538.773
5438,600,350,14,36,32592,7261524.48
5439,600,350,14,40,35280,7876586.667
5441,600,350,16,12,17616,3269890.56
5442,600,350,16,16,20288,3998432.142
5443,600,350,16,19,22292,4531542.902
5444,600,350,16,22,24296,5053391.182
5445,600,350,16,25,26300,5564097.222
5446,600,350,16,28,28304,6063781.262
5447,600,350,16,32,30976,6713089.138
5448,600,350,16,36,33648,7343301.12
5449,600,350,16,40,36320,7954702.222
5451,600,350,19,12,19344,3429143.04
5452,600,350,19,16,21992,4151140.836
5453,600,350,19,19,23978,4679463.176
5454,600,350,19,22,25964,5196624.196
5455,600,350,19,25,27950,5702743.056
5456,600,350,19,28,29936,6197938.916
5457,600,350,19,32,32584,6841414.684
5458,600,350,19,36,35232,7465966.08
5459,600,350,19,40,37880,8071875.556
5461,600,350,22,12,21072,3588395.52
5462,600,350,22,16,23696,4303849.529
5463,600,350,22,19,25664,4827383.449
5464,600,350,22,22,27632,5339857.209
5465,600,350,22,25,29600,5841388.889
5466,600,350,22,28,31568,6332096.569
5467,600,350,22,32,34192,6969740.231
5468,600,350,22,36,36816,7588631.04
5469,600,350,22,40,39440,8189048.889
5511,600,400,9,12,14784,3244093.44
5512,600,400,9,16,17912,4096966.969
5513,600,400,9,19,20258,4721057.709
5514,600,400,9,22,22604,5331963.929
5515,600,400,9,25,24950,5929826.389
5516,600,400,9,28,27296,6514785.849
5517,600,400,9,32,30424,7274903.751
5518,600,400,9,36,33552,8012666.88
5519,600,400,9,40,36680,8728408.889
5521,600,400,12,12,16512,3403345.92
5522,600,400,12,16,19616,4249675.662
5523,600,400,12,19,21944,4868977.982
5524,600,400,12,22,24272,5475196.942
5525,600,400,12,25,26600,6068472.222
5526,600,400,12,28,28928,6648943.502
5527,600,400,12,32,32032,7403229.298
5528,600,400,12,36,35136,8135331.84
5529,600,400,12,40,38240,8845582.222
5531,600,400,14,12,17664,3509514.24
5532,600,400,14,16,20752,4351481.458
5533,600,400,14,19,23068,4967591.498
5534,600,400,14,22,25384,5570685.618
5535,600,400,14,25,27700,6160902.778
5536,600,400,14,28,30016,6738381.938
5537,600,400,14,32,33104,7488779.662
5538,600,400,14,36,36192,8217108.48
5539,600,400,14,40,39280,8923697.778
5541,600,400,16,12,18816,3615682.56
5542,600,400,16,16,21888,4453287.253
5543,600,400,16,19,24192,5066205.013
5544,600,400,16,22,26496,5666174.293
5545,600,400,16,25,28800,6253333.333
5546,600,400,16,28,31104,6827820.373
5547,600,400,16,32,34176,7574330.027
5548,600,400,16,36,37248,8298885.12
5549,600,400,16,40,40320,9001813.333
5551,600,400,19,12,20544,3774935.04
5552,600,400,19,16,23592,4605995.947
5553,600,400,19,19,25878,5214125.287
5554,600,400,19,22,28164,5809407.307
5555,600,400,19,25,30450,6391979.167
5556,600,400,19,28,32736,6961978.027
5557,600,400,19,32,35784,7702655.573
5558,600,400,19,36,38832,8421550.08
5559,600,400,19,40,41880,9118986.667
5561,600,400,22,12,22272,3934187.52
5562,600,400,22,16,25296,4758704.64
5563,600,400,22,19,27564,5362045.56
5564,600,400,22,22,29832,5952640.32
5565,600,400,22,25,32100,6530625
5566,600,400,22,28,34368,7096135.68
5567,600,400,22,32,37392,7830981.12
5568,600,400,22,36,40416,8544215.04
5569,600,400,22,40,43440,9236160
6111,650,200,9,12,10434,2069219.022
6112,650,200,9,16,11962,2523962.792
6113,650,200,9,19,13108,2857385.321
6114,650,200,9,22,14254,3184333.832
6115,650,200,9,25,15400,3504871.795
6116,650,200,9,28,16546,3819062.681
6117,650,200,9,32,18074,4228220.334
6118,650,200,9,36,19602,4626357.582
6119,650,200,9,40,21130,5013624.872
6121,650,200,12,12,12312,2257922.388
6122,650,200,12,16,13816,2705523.586
6123,650,200,12,19,14944,3033709.112
6124,650,200,12,22,16072,3355522.306
6125,650,200,12,25,17200,3671025.641
6126,650,200,12,28,18328,3980281.592
6127,650,200,12,32,19832,4383012.685
6128,650,200,12,36,21336,4774896.468
6129,650,200,12,40,22840,5156081.026
6131,650,200,14,12,13564,2383724.632
6132,650,200,14,16,15052,2826564.115
6133,650,200,14,19,16168,3151258.306
6134,650,200,14,22,17284,3469647.955
6135,650,200,14,25,18400,3781794.872
6136,650,200,14,28,19516,4087760.866
6137,650,200,14,32,21004,4486207.586
6138,650,200,14,36,22492,4873922.392
6139,650,200,14,40,23980,5251051.795
6141,650,200,16,12,14816,2509526.876
6142,650,200,16,16,16288,2947604.644
6143,650,200,16,19,17392,3268807.499
6144,650,200,16,22,18496,3583773.604
6145,650,200,16,25,19600,3892564.103
6146,650,200,16,28,20704,4195240.139
6147,650,200,16,32,22176,4589402.486
6148,650,200,16,36,23648,4972948.316
6149,650,200,16,40,25120,5346022.564
6151,650,200,19,12,16694,2698230.242
6152,650,200,19,16,18142,3129165.438
6153,650,200,19,19,19228,3445131.29
6154,650,200,19,22,20314,3754962.078
6155,650,200,19,25,21400,4058717.949
6156,650,200,19,28,22486,4356459.05
6157,650,200,19,32,23934,4744194.837
6158,650,200,19,36,25382,5121487.202
6159,650,200,19,40,26830,5488478.718
6161,650,200,22,12,18572,2886933.608
6162,650,200,22,16,19996,3310726.232
